target	status	source	commit	path
ai-agent-ai-app-skills/ai-elements	UNMATCHED			
ai-agent-ai-app-skills/ai-gateway	UNMATCHED			
ai-agent-ai-app-skills/ai-generation-persistence	UNMATCHED			
ai-agent-ai-app-skills/ai-sdk	UNMATCHED			
ai-agent-ai-app-skills/chat-sdk	UNMATCHED			
ai-agent-ai-app-skills/json-render	UNMATCHED			
ai-agent-ai-app-skills/runtime-cache	UNMATCHED			
ai-agent-ai-app-skills/vercel-queues	UNMATCHED			
ai-agent-ai-app-skills/vercel-storage	UNMATCHED			
ai-agent-ai-app-skills/workflow	UNMATCHED			
ai-agent-core-skills/agent-browser	UNMATCHED			
ai-agent-core-skills/deployments-cicd	UNMATCHED			
ai-agent-core-skills/investigation-mode	UNMATCHED			
ai-agent-core-skills/openai-docs	UNMATCHED			
ai-agent-core-skills/skill-creator	UNMATCHED			
ai-agent-core-skills/verification	UNMATCHED			
ai-agent-documents-creative-skills/answers-charts	UNMATCHED			
ai-agent-documents-creative-skills/documents	UNMATCHED			
ai-agent-documents-creative-skills/imagegen	MATCH	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/imagegen
ai-agent-documents-creative-skills/pdf	UNMATCHED			
ai-agent-documents-creative-skills/presentations	UNMATCHED			
ai-agent-documents-creative-skills/spreadsheets	UNMATCHED			
ai-agent-documents-creative-skills/visualize	UNMATCHED			
ai-agent-documents-creative-skills/writing-blocks	UNMATCHED			
ai-agent-large-project-engineering-skills/bootstrap	UNMATCHED			
ai-agent-large-project-engineering-skills/marketplace	UNMATCHED			
ai-agent-large-project-engineering-skills/micro	UNMATCHED			
ai-agent-large-project-engineering-skills/microfrontends	UNMATCHED			
ai-agent-large-project-engineering-skills/ncc	UNMATCHED			
ai-agent-large-project-engineering-skills/next-forge	UNMATCHED			
ai-agent-large-project-engineering-skills/next-upgrade	UNMATCHED			
ai-agent-large-project-engineering-skills/turbopack	UNMATCHED			
ai-agent-large-project-engineering-skills/turborepo	UNMATCHED			
ai-agent-large-project-engineering-skills/vercel-services	UNMATCHED			
ai-agent-production-saas-skills/cdn-caching	UNMATCHED			
ai-agent-production-saas-skills/cron-jobs	UNMATCHED			
ai-agent-production-saas-skills/email	UNMATCHED			
ai-agent-production-saas-skills/next-cache-components	UNMATCHED			
ai-agent-production-saas-skills/payments	UNMATCHED			
ai-agent-production-saas-skills/routing-middleware	UNMATCHED			
ai-agent-production-saas-skills/vercel-api	UNMATCHED			
ai-agent-production-saas-skills/vercel-cli	UNMATCHED			
ai-agent-production-saas-skills/vercel-firewall	UNMATCHED			
ai-agent-production-saas-skills/vercel-flags	UNMATCHED			
ai-agent-ui-product-skills/cms	UNMATCHED			
ai-agent-ui-product-skills/geist	UNMATCHED			
ai-agent-ui-product-skills/satori	UNMATCHED			
ai-agent-ui-product-skills/shadcn	UNMATCHED			
ai-agent-ui-product-skills/swr	UNMATCHED			
ai-agent-ui-product-skills/v0-dev	UNMATCHED			
ai-agent-web-engineering-skills/agent-browser-verify	UNMATCHED			
ai-agent-web-engineering-skills/auth	UNMATCHED			
ai-agent-web-engineering-skills/env-vars	UNMATCHED			
ai-agent-web-engineering-skills/nextjs	UNMATCHED			
ai-agent-web-engineering-skills/observability	UNMATCHED			
ai-agent-web-engineering-skills/react-best-practices	UNMATCHED			
ai-agent-web-engineering-skills/supabase-postgres-best-practices	UNMATCHED			
ai-agent-web-engineering-skills/vercel-functions	UNMATCHED			
local-github-agentic-loop-pack/skills/ai-generation-persistence	UNMATCHED			
local-github-agentic-loop-pack/skills/ai-sdk	UNMATCHED			
local-github-agentic-loop-pack/skills/answers-ask-user-input	UNMATCHED			
local-github-agentic-loop-pack/skills/control-browser	UNMATCHED			
local-github-agentic-loop-pack/skills/eve	UNMATCHED			
local-github-agentic-loop-pack/skills/gh-address-comments	UNMATCHED			
local-github-agentic-loop-pack/skills/gh-fix-ci	UNMATCHED			
local-github-agentic-loop-pack/skills/github	UNMATCHED			
local-github-agentic-loop-pack/skills/investigation-mode	UNMATCHED			
local-github-agentic-loop-pack/skills/openai-docs	UNMATCHED			
local-github-agentic-loop-pack/skills/personal-context	UNMATCHED			
local-github-agentic-loop-pack/skills/plugin-creator	MATCH	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/plugin-creator
local-github-agentic-loop-pack/skills/skill-creator	UNMATCHED			
local-github-agentic-loop-pack/skills/verification	UNMATCHED			
local-github-agentic-loop-pack/skills/workflow	UNMATCHED			
local-github-agentic-loop-pack/skills/yeet	UNMATCHED			
